Date,LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pension Concession Card,Special Benefit,Widow Allowance,Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance
2021-03,59100,Wickepin (S),0,0,80,5,13,0,9,18,15,33,27,44,28,5,0,5,0,118,0,0,5,5,17
2021-03,59170,Williams (S),0,0,70,0,12,0,7,18,16,50,38,27,25,0,0,6,0,114,0,0,0,0,38
2021-03,59250,Wiluna (S),5,8,20,0,5,0,0,0,14,47,44,96,70,0,8,9,0,70,0,0,9,0,5
2021-03,59310,Wongan-Ballidu (S),0,6,136,0,30,0,14,28,45,74,65,79,67,0,0,15,0,241,0,0,5,0,52
2021-03,59320,Woodanilling (S),0,0,31,0,5,0,5,8,18,24,16,32,21,5,0,0,0,62,5,0,5,0,21
2021-03,59330,Wyalkatchem (S),0,5,77,0,12,0,8,8,25,22,20,36,34,0,0,6,0,131,0,0,0,0,29
2021-03,59340,Wyndham-East Kimberley (S),13,108,246,0,89,0,58,25,305,646,597,1063,674,13,86,249,0,1045,0,0,130,6,213
2021-03,59350,Yalgoo (S),0,6,19,0,0,0,0,0,9,27,23,47,33,5,0,10,0,50,0,0,6,0,0
2021-03,59360,Yilgarn (S),0,5,105,0,11,0,6,9,36,40,36,56,56,0,0,9,0,183,0,0,5,5,28
2021-03,59370,York (S),0,10,698,0,86,0,46,92,132,191,165,263,211,18,7,35,0,1021,0,0,25,0,194
2021-03,60210,Break O'Day (M),0,6,1393,10,311,0,201,102,512,440,351,651,665,101,40,64,0,2564,5,0,30,21,486
2021-03,60410,Brighton (M),14,27,1784,20,915,22,560,72,1306,2038,1702,1781,1217,137,137,553,0,4957,5,0,269,89,2251
2021-03,60610,Burnie (C),21,27,2637,33,802,10,501,193,1357,1636,1350,1733,1270,207,114,304,0,5646,5,5,220,122,2089
2021-03,60810,Central Coast (M) (Tas.),9,26,3840,27,865,10,483,312,1240,1450,1129,1506,1052,251,82,231,5,6505,0,5,101,66,1528
2021-03,61010,Central Highlands (M) (Tas.),0,0,382,5,93,5,62,29,176,169,129,191,150,19,17,29,0,734,0,0,18,5,111
2021-03,61210,Circular Head (M),8,14,983,5,223,0,123,100,354,552,430,498,373,63,37,81,0,1789,0,0,41,13,423
2021-03,61410,Clarence (C),12,40,7614,78,1543,21,754,1290,2360,3300,2707,3670,2286,406,158,612,0,12771,0,0,385,372,3320
2021-03,61510,Derwent Valley (M),5,14,1419,10,447,5,258,70,827,929,753,947,743,100,60,193,0,3152,5,0,124,40,823
2021-03,61610,Devonport (C),13,45,4167,29,1114,19,673,314,1801,2097,1734,2097,1610,251,149,420,0,8222,5,5,254,113,2525
2021-03,61810,Dorset (M),5,5,1168,6,229,5,146,126,362,479,380,577,453,88,20,72,0,2022,0,0,44,19,411
2021-03,62010,Flinders (M) (Tas.),0,5,157,0,15,0,7,30,32,47,33,63,59,5,6,5,0,225,0,0,0,0,44
2021-03,62210,George Town (M),0,6,1199,6,342,0,205,89,539,531,441,757,601,97,44,118,5,2402,0,0,82,34,618
2021-03,62410,Glamorgan/Spring Bay (M),5,5,1013,0,162,0,106,148,265,257,188,327,270,54,14,39,0,1579,0,0,22,8,300
2021-03,62610,Glenorchy (C),24,32,6285,82,1668,26,855,386,3230,3743,3077,4365,3096,374,258,698,0,12844,16,0,499,392,4262
2021-03,62810,Hobart (C),35,10,4257,192,550,8,210,1450,1557,1494,1222,3635,1987,339,83,205,0,7264,5,0,228,926,3499
2021-03,63010,Huon Valley (M),8,8,2522,19,566,5,313,266,1001,1388,1068,1538,1142,248,106,208,0,4722,5,5,119,77,981
2021-03,63210,Kentish (M),5,5,984,6,253,5,150,74,378,432,307,511,367,92,35,53,0,1797,0,0,32,22,301
2021-03,63410,King Island (M),0,0,191,5,15,0,7,38,27,71,53,67,47,9,5,12,0,259,0,0,5,0,47
2021-03,63610,Kingborough (M),12,9,4619,71,780,13,310,891,1103,2112,1619,2338,1261,297,103,255,0,7046,0,0,174,249,1674
2021-03,63810,Latrobe (M) (Tas.),0,11,2181,8,469,6,280,223,483,758,602,751,511,141,51,112,0,3424,0,5,47,26,864
2021-03,64010,Launceston (C),36,42,8604,153,2007,35,1155,873,3260,4961,4044,6679,4523,620,428,1041,0,16639,7,6,702,687,6728
2021-03,64210,Meander Valley (M),5,13,3253,15,610,6,307,317,816,1267,958,1263,923,181,67,223,0,5192,0,5,104,72,1125
2021-03,64610,Northern Midlands (M),5,5,2089,8,434,10,245,190,560,907,699,918,680,126,53,158,0,3495,0,5,79,52,794
2021-03,64810,Sorell (M),5,9,2195,27,519,8,264,162,852,1195,951,1175,795,136,59,225,0,3983,0,0,109,62,972
2021-03,65010,Southern Midlands (M),0,5,781,8,300,6,173,64,440,514,382,496,323,44,43,100,0,1680,0,0,60,27,310
2021-03,65210,Tasman (M),0,0,507,5,115,0,62,43,210,158,118,212,198,37,9,23,0,922,0,0,9,13,156
2021-03,65410,Waratah/Wynyard (M),12,15,2421,14,623,8,347,167,913,924,741,984,770,152,60,170,5,4356,0,5,96,47,1125
2021-03,65610,West Coast (M),5,0,640,6,188,0,127,10,349,296,254,413,449,28,18,76,0,1424,0,0,28,8,353
2021-03,65810,West Tamar (M),11,14,3693,46,680,6,351,437,875,1457,1118,1669,1080,250,88,206,0,5794,5,0,117,108,1266
2021-03,70200,Alice Springs (T),45,130,1264,23,363,18,209,133,1286,2159,1868,3353,2345,45,262,574,0,3921,0,0,339,37,1366
2021-03,70420,Barkly (R),20,89,232,0,95,0,67,5,376,764,674,1542,1073,8,167,222,0,1079,0,0,166,0,178
2021-03,70540,Belyuen (S),0,0,5,0,0,0,0,0,20,23,19,74,60,0,5,6,0,46,0,0,15,0,0
2021-03,70620,Central Desert (R),6,54,133,0,56,5,41,0,175,566,486,1174,802,0,157,152,0,648,0,5,145,0,9
2021-03,70700,Coomalie (S),5,16,149,0,33,0,23,14,60,101,90,166,147,0,6,37,0,320,0,0,12,0,62
2021-03,71000,Darwin (C),114,192,4290,123,1076,19,469,617,2016,3847,3311,5531,3710,124,268,760,0,8735,22,5,447,289,4001
2021-03,71300,East Arnhem (R),22,88,187,0,162,0,150,0,608,1407,1194,2871,1983,5,367,288,0,1655,0,0,329,0,14
2021-03,72200,Katherine (T),20,92,466,7,142,0,82,33,552,818,723,1412,983,9,131,221,0,1570,5,0,199,15,520
2021-03,72300,Litchfield (M),12,11,1214,7,310,13,129,184,420,801,677,1196,986,40,40,167,0,2299,0,0,74,36,897
2021-03,72330,MacDonnell (R),23,79,167,0,85,0,81,0,334,708,600,1635,1191,0,188,169,0,969,0,0,229,0,48
2021-03,72800,Palmerston (C),49,141,1368,37,682,27,280,90,955,2778,2437,3121,1907,72,180,697,0,3908,0,5,346,87,1992
2021-03,73600,Roper Gulf (R),26,140,198,5,82,0,68,5,310,816,681,1950,1283,9,220,153,0,971,0,0,242,5,35
2021-03,74050,Tiwi Islands (R),15,106,60,0,53,0,46,0,231,328,255,869,641,5,102,53,0,551,0,0,84,0,13
2021-03,74550,Victoria Daly (R),11,62,101,0,27,0,25,5,82,309,274,645,367,5,76,77,0,344,0,0,80,5,27
2021-03,74560,Wagait (S),5,0,72,5,14,5,5,5,12,22,18,38,33,0,5,0,0,100,0,0,5,5,27
2021-03,74660,West Arnhem (R),24,81,113,0,71,0,61,0,340,801,671,1937,1326,0,225,134,0,890,0,0,228,0,11
2021-03,74680,West Daly (R),9,86,66,0,35,5,28,0,196,527,436,1110,660,5,138,71,0,487,0,0,173,0,7
2021-03,79399,Unincorporated NT,7,40,280,5,65,0,42,10,142,340,260,644,459,8,50,47,0,612,0,0,53,8,146
2021-03,89399,Unincorporated ACT,136,140,25135,606,5856,109,1761,6919,8550,14955,12370,19283,10179,1211,713,2411,0,43007,111,31,1089,3841,13018
2021-03,99399,Unincorp. Other Territories,0,8,442,0,60,0,35,61,53,196,149,177,133,6,9,21,0,623,0,5,11,5,131
2021-06,10050,Albury (C),24,95,6815,95,1649,33,767,1059,2342,3762,3065,3803,2626,284,157,882,0,12599,0,0,405,473,5086
2021-06,10180,Armidale Regional (A),80,114,2946,42,643,25,348,660,1161,1781,1443,2788,1470,111,124,391,0,5599,5,0,234,704,3057
