LGA NAME,Earners,Median Age of Earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Manningham,71403,47,4648268289,45208,65099,6.15,2.11,0.34,0.13,0.526,10.5,25,37.1,28.4,23.7,21,26.9
Mansfield,4907,50,219174950,34811,44666,6.05,1.97,0.33,0.11,0.502,7.9,21.6,33.2,34.5,30.1,21.1,14.3
Maribyrnong,47414,36,2809189015,49523,59248,4.55,1.81,0.4,0.2,0.433,5.8,17.8,28.8,23.3,25,26.2,25.5
Maroondah,64889,43,3711248956,48386,57194,4.63,1.79,0.39,0.17,0.434,5.5,17.5,28.5,24.1,25.2,26.7,24
Melbourne,78681,32,5515073959,47273,70094,6.51,2.04,0.31,0.14,0.55,14.4,29,40.3,29,21.3,22,27.7
Melton,69110,39,3792467095,49402,54876,3.85,1.66,0.43,0.23,0.39,4.6,15.3,25.6,21.3,26.7,30.7,21.3
Mildura,29024,44,1390993315,41184,47926,4.75,1.76,0.37,0.16,0.45,6.5,18.5,29.3,28.5,29.5,26.3,15.7
Mitchell,21358,43,1140682035,47325,53408,4.12,1.72,0.42,0.2,0.411,5,16,26.5,23.3,27.2,28.9,20.6
Moira,15410,47,678453408,38265,44027,5.57,1.83,0.33,0.1,0.484,6.3,18.2,29.5,31.8,28.9,24.9,14.4
Monash,102911,43,5998251358,44817,58286,5.99,1.99,0.33,0.13,0.492,7.8,21.1,32.9,28.9,23.6,23,24.5
Moonee Valley,69124,42,4791426921,53959,69316,4.95,1.86,0.38,0.18,0.47,8.2,21.4,32.8,22.1,22.5,24.6,30.7
Moorabool,17539,44,998028699,48582,56903,4.44,1.78,0.4,0.18,0.428,5.7,17.2,27.9,23.5,25.6,26.9,24
Moreland,92396,37,5406308120,49012,58512,4.52,1.8,0.4,0.19,0.434,5.9,17.8,28.8,23.5,25.2,26.3,24.9
Mornington Peninsula,88691,48,5247328191,43223,59164,5.27,1.96,0.37,0.15,0.504,10.7,24.5,35.7,27.5,26.8,23.1,22.6
Mount Alexander,9649,50,443816377,38383,45996,5.97,1.87,0.31,0.11,0.474,6.3,18.7,30,32.4,26.8,24.8,16
Moyne,9652,47,472272894,41085,48930,5.11,1.82,0.36,0.13,0.477,7.7,19.9,30.8,29.3,27.9,25.8,17.1
Murrindindi,7733,49,359213136,37674,46452,5.46,1.89,0.35,0.12,0.493,7.8,20.5,31.8,32.1,28.8,23.8,15.3
Nillumbik,39096,46,2671367270,52439,68328,5.03,1.92,0.38,0.18,0.471,7.9,20.9,32.4,22.5,23.4,23.1,31
Northern Grampians,6132,48,266471800,37933,43456,5.93,1.81,0.3,0.1,0.469,5.7,17.6,28.8,32.4,28.4,25.5,13.7
Port Phillip,68478,37,5916463773,60274,86399,5.22,1.93,0.37,0.18,0.521,12.9,27.7,38.9,20.3,19.5,24.1,36.1
Pyrenees,3406,50,151376558,35452,44444,7,1.88,0.27,0.07,0.556,15.4,26.5,37.2,35.8,29.3,22,13
Queenscliffe,1867,59,110413753,40086,59140,8.18,2.17,0.27,0.1,0.569,11,26.7,39.1,34.7,21.8,19,24.5
South Gippsland,15674,49,733792248,36585,46816,5.6,1.97,0.35,0.13,0.502,8.1,21.2,32.7,32.5,29.1,22.2,16.2
Southern Grampians,9585,48,446125519,39234,46544,5.3,1.79,0.34,0.11,0.478,7.4,20,31.1,31,28.6,25.6,14.7
Stonnington,71099,38,7412088240,60483,104250,6.02,2.1,0.35,0.16,0.596,18.6,35.9,47.1,21.3,19.3,21.9,37.6
Strathbogie,5653,51,247905211,37823,43854,5.82,1.81,0.31,0.1,0.501,6.6,19.4,31.1,32.9,28.8,24.4,14
Surf Coast,18325,46,1093456139,44866,59670,5.66,1.99,0.35,0.14,0.501,8.6,22.4,34.1,27.8,24.8,22.4,25
Swan Hill,11248,44,531935673,40592,47292,4.95,1.75,0.35,0.14,0.472,6.9,19.9,30.8,29.5,29.3,26.2,15
Towong,3502,51,168925829,39569,48237,5.63,1.91,0.34,0.12,0.47,6.5,18.9,30.2,29.7,28.7,24.5,17.2
