,,,,Age group (Years),,,,,,,,,,,,,,,,,,
,,,,0-4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total Persons
S/T code,S/T name,LGA code,LGA name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
2,Victoria,23810,Latrobe (C) (Vic.),4691,4619,4469,4398,5076,5094,4697,4140,4230,4663,4958,5325,4820,4351,3358,2539,1696,1797,74921
2,Victoria,23940,Loddon (S),352,402,450,444,240,235,302,305,375,486,571,697,640,649,496,339,253,271,7507
2,Victoria,24130,Macedon Ranges (S),3184,3600,3459,3097,2376,1981,2317,3010,3576,3907,3533,3397,3037,2808,2224,1356,785,783,48430
2,Victoria,24210,Manningham (C),6346,7074,7045,7896,8231,7656,7094,7346,7799,8785,8393,8059,7042,6537,6083,5240,3835,3801,124262
2,Victoria,24250,Mansfield (S),448,551,597,541,329,337,407,454,504,553,577,699,710,719,607,362,223,179,8797
2,Victoria,24330,Maribyrnong (C),6215,4605,3480,3657,8114,10916,10376,8350,6696,5788,4727,4456,3473,2640,1865,1468,1143,1392,89361
2,Victoria,24410,Maroondah (C),7989,7366,6707,6867,7244,7928,8855,8366,8021,8054,7543,7023,6135,5379,4603,3217,2349,2686,116332
2,Victoria,24600,Melbourne (C),5190,2915,2244,11558,35522,31489,20822,11443,7037,5938,5181,4925,4367,3615,2736,1607,997,1337,158923
2,Victoria,24650,Melton (C),12675,12913,11178,9651,10005,11082,12309,12703,11826,10207,8119,7076,6265,5112,3403,2002,1187,931,148644
2,Victoria,24780,Mildura (RC),3627,3593,3485,3659,3428,3824,3266,3019,3182,3564,3401,3708,3393,3063,2324,1900,1326,1389,55151
2,Victoria,24850,Mitchell (S),3037,3091,2878,3095,2697,2749,2963,2586,2758,2984,2880,2764,2440,2092,1617,1031,645,603,42910
2,Victoria,24900,Moira (S),1684,1798,1808,1803,1494,1451,1426,1382,1542,1853,1923,2130,2117,2186,1825,1367,958,908,29655
2,Victoria,24970,Monash (C),10064,10943,10231,12829,21470,16568,13948,12706,12311,12828,11309,10146,8992,8217,7409,6578,4927,5380,196856
2,Victoria,25060,Moonee Valley (C),7437,7111,6700,6696,8867,10518,10367,9100,8591,9036,7722,7366,6223,5417,4469,3717,2922,3156,125415
2,Victoria,25150,Moorabool (S),2213,2421,2266,2119,1907,1865,2002,2229,2205,2532,2337,2262,1988,1823,1475,824,495,485,33448
2,Victoria,25250,Moreland (C),11564,9401,7629,7582,14552,20098,19616,15653,12182,10950,9427,8381,6778,5623,4653,4468,4046,4368,176971
2,Victoria,25340,Mornington Peninsula (S),8734,10139,9838,9522,8369,7543,7670,8503,10177,11650,10547,10896,10799,11248,10303,7533,5126,5250,163847
2,Victoria,25430,Mount Alexander (S),888,1003,1076,970,762,840,868,993,1180,1423,1444,1568,1647,1514,1236,803,522,561,19298
2,Victoria,25490,Moyne (S),987,1220,1235,1052,719,865,858,882,1058,1171,1166,1258,1227,1079,793,523,346,355,16794
2,Victoria,25620,Murrindindi (S),680,822,815,726,618,579,666,750,855,1006,974,1251,1214,1160,946,559,327,286,14234
2,Victoria,25710,Nillumbik (S),3595,4573,4753,4691,4424,3230,3010,3685,4694,5297,5026,4910,4217,3308,2357,1393,780,683,64626
2,Victoria,25810,Northern Grampians (S),573,556,631,712,521,639,538,520,616,749,850,906,904,888,692,521,350,352,11518
2,Victoria,25900,Port Phillip (C),5511,4162,3411,3195,7427,14171,14713,10626,8424,7937,6654,6337,5088,4445,3390,2180,1427,1536,110634
2,Victoria,25990,Pyrenees (S),361,405,430,353,252,258,357,361,425,522,540,618,706,610,538,283,175,165,7359
2,Victoria,26080,Queenscliffe (B),100,118,117,146,95,56,97,98,129,153,182,193,288,324,300,222,159,183,2960
2,Victoria,26170,South Gippsland (S),1670,1828,1868,1684,1209,1236,1454,1432,1635,1962,2003,2253,2238,2307,1782,1202,778,783,29324
2,Victoria,26260,Southern Grampians (S),882,928,1019,1041,824,716,806,770,890,1065,1114,1191,1188,1089,904,631,474,593,16125
2,Victoria,26350,Stonnington (C),4835,4707,4544,5042,10896,15364,12603,8474,6687,6872,6105,5771,5061,4811,4012,3124,2271,2558,113737
2,Victoria,26430,Strathbogie (S),486,546,574,509,400,426,462,489,523,618,713,863,970,922,735,530,361,358,10485
2,Victoria,26490,Surf Coast (S),2010,2231,2210,1773,1378,1390,1873,2085,2319,2345,2026,2205,2083,1941,1456,894,569,562,31350
2,Victoria,26610,Swan Hill (RC),1427,1410,1268,1310,1230,1365,1295,1161,1155,1290,1327,1428,1339,1159,877,721,547,541,20850
2,Victoria,26670,Towong (S),317,315,360,349,220,238,233,272,302,402,457,520,525,472,422,266,168,202,6040
2,Victoria,26700,Wangaratta (RC),1607,1863,1854,1782,1357,1379,1434,1518,1761,1941,1915,2101,1988,1840,1538,1160,833,986,28857
2,Victoria,26730,Warrnambool (C),2059,2194,2093,2258,2339,2437,2073,1950,2008,2240,2190,2250,2053,1872,1538,1150,844,1023,34571
2,Victoria,26810,Wellington (S),2605,2710,2639,2613,2335,2465,2625,2498,2507,2805,2893,3244,3162,2990,2190,1533,991,1002,43807
2,Victoria,26890,West Wimmera (S),231,233,233,223,152,167,176,180,186,266,308,320,279,267,231,191,130,122,3895
2,Victoria,26980,Whitehorse (C),9601,9989,9672,10960,15251,13617,12219,11192,11459,12097,10213,9699,8351,7438,6511,5426,4445,5093,173233
2,Victoria,27070,Whittlesea (C),18029,15499,13074,12312,15471,17743,19878,17486,14690,13636,12262,11174,9611,8400,6301,4470,3226,2454,215716
2,Victoria,27170,Wodonga (C),2986,2906,2654,2750,2865,3001,2904,2488,2470,2603,2462,2473,2265,1968,1493,1056,701,774,40819
2,Victoria,27260,Wyndham (C),24039,20748,15710,13930,15340,19468,26093,23285,17642,14896,12380,10714,8815,6904,4824,2993,1861,1458,241100
2,Victoria,27350,Yarra (C),4507,3447,2801,2881,8099,16025,13892,8788,6354,5620,4983,4560,4029,3322,2564,1751,1263,1095,95981
2,Victoria,27450,Yarra Ranges (S),9880,10357,10069,10127,9788,9859,9896,9746,10589,11544,10801,10592,9467,8329,6607,4166,2530,2544,156891
2,Victoria,27630,Yarriambiack (S),314,400,381,373,275,311,274,265,319,390,490,566,553,474,431,322,231,315,6684
