LGA NAME,Earners,Median Age of Earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Alpine,7546,49,358183434,38607,47467,5.37,1.9,0.35,0.14,0.466,6.5,19.1,30.2,31.8,29.9,23.1,15.2
Ararat,6215,47,307736470,43190,49515,5.22,1.78,0.34,0.13,0.454,6.2,17.8,28.8,29.3,28.3,25.9,16.5
Ballarat,57540,43,3329907939,47859,57871,4.66,1.78,0.38,0.16,0.453,8.4,20.3,30.8,25.2,26.8,26.8,21.2
Banyule,76202,43,5371975506,54519,70497,5.19,1.89,0.37,0.16,0.479,9.4,22.1,33.2,23.4,22.7,24,30
Bass Coast,18630,49,875534430,37559,46996,5.65,1.92,0.34,0.13,0.482,6.6,20,31.7,33.4,30,21.8,14.8
Baw Baw,29050,46,1566202330,44473,53914,5.17,1.88,0.36,0.14,0.463,6,18.7,30,27.9,27.5,24.4,20.2
Bayside,65596,48,6928788067,61075,105628,7.29,2.35,0.32,0.14,0.59,15.2,32.6,44.5,23.3,19.6,18.4,38.7
Benalla,7673,50,366391060,41382,47751,5.49,1.8,0.33,0.11,0.462,5.8,17.9,29,30.9,28.4,25.4,15.3
Boroondara,115441,45,11246716259,58284,97424,7.36,2.27,0.31,0.12,0.587,14.1,31.7,43.9,25.1,19.3,19.2,36.4
Brimbank,104733,39,5346002556,44657,51044,4.29,1.73,0.4,0.19,0.418,5.3,16.7,27.4,26.7,29.2,27.5,16.5
Buloke,3456,51,173789186,40377,50286,6.46,1.94,0.3,0.09,0.501,6.7,20.5,32,33.1,25,24.3,17.6
Campaspe,21378,47,1058662664,43348,49521,5.05,1.77,0.35,0.13,0.449,5.8,17.5,28.4,28.8,28.3,26.6,16.3
Cardinia,58503,40,3359605863,49998,57426,4.04,1.71,0.42,0.2,0.414,6,17.2,27.6,22.2,27.5,29,21.2
Casey,179915,39,10016226368,48849,55672,3.94,1.68,0.43,0.22,0.406,6,17,27.3,22.6,28.5,29.8,19.1
Central Goldfields,5839,48,254981439,38497,43669,5.49,1.74,0.32,0.12,0.445,5.8,17.5,28.3,32.1,31.6,25.1,11.2
Colac-Otway,13013,46,632075420,42658,48573,5.05,1.73,0.34,0.12,0.451,6.4,18.1,28.9,29.2,28.5,27.7,14.5
Corangamite,9323,48,432102045,39678,46348,5.69,1.85,0.32,0.12,0.491,6.2,18.7,30.1,32,28.7,23.9,15.4
Darebin,88353,38,5612703509,51258,63526,4.75,1.84,0.39,0.19,0.449,6.9,19.4,30.4,23.6,25,25.3,26.2
