,Government,,Catholic,,Independent,,Total Sum of FTE Enrolments,Total Sum of No Of Schools
Row Labels,Sum of FTE Enrolments,Sum of No Of Schools,Sum of FTE Enrolments,Sum of No Of Schools,Sum of FTE Enrolments,Sum of No Of Schools,,
Alpine (S),1462.9,9,328,2,,,1790.9,11
Ararat (RC),1060.7,11,637,2,,,1697.7,13
Ballarat (C),11140.3,29,6462,14,3369.4,4,20971.7,47
Banyule (C),14175.6,28,6714.9,11,2303,3,23193.5,42
Bass Coast (S),3558.1,10,316,2,969.6,2,4843.7,14
Baw Baw (S),6260.5,30,1751,4,1555.4,3,9566.9,37
Bayside (C),9040.1,15,3455,9,5047.2,3,17542.3,27
Benalla (RC),951.5,5,662,2,67,2,1680.5,9
Boroondara (C),16565,27,5764,13,13142.4,18,35471.4,58
Brimbank (C),20190.6,38,8497.2,19,2618,2,31305.8,59
Buloke (S),817.8,7,121,3,,,938.8,10
Campaspe (S),4068.1,17,2470.8,6,49,1,6587.9,24
Cardinia (S),11490.3,25,3861,7,4247,5,19598.3,37
Casey (C),41458,56,7903.4,14,8006.5,7,57367.9,77
Central Goldfields (S),1438.2,6,238,1,430,1,2106.2,8
Colac-Otway (S),1793.2,13,1498.2,4,,,3291.4,17
Corangamite (S),1754.9,11,862,3,,,2616.9,14
Darebin (C),14197.9,28,3345.2,12,1340,4,18883.1,44
East Gippsland (S),4734.7,31,1496,4,229,2,6459.7,37
Frankston (C),17574.2,32,2332,7,2248.1,3,22154.3,42
Gannawarra (S),926.7,9,221,2,126,1,1273.7,12
Glen Eira (C),12088.4,20,2918.8,8,6644.8,11,21652,39
Glenelg (S),2059.7,14,269,2,286,2,2614.7,18
Golden Plains (S),2114.2,12,159,1,,,2273.2,13
Greater Bendigo (C),12629.7,35,5207,13,2006.2,3,19842.9,51
Greater Dandenong (C),14450.9,26,4274.2,9,5746.9,8,24472,43
Greater Geelong (C),23974.8,54,10740.3,19,8013.9,10,42729,83
Greater Shepparton (C),7525.1,33,3179.6,7,1126,3,11830.7,43
Hepburn (S),1320.2,11,208,2,41,1,1569.2,14
Hindmarsh (S),659.9,5,36,1,92,2,787.9,8
Hobsons Bay (C),9681.2,17,3763.6,10,278,2,13722.8,29
Horsham (RC),2221.6,6,530.4,2,574,1,3326,9
Hume (C),24415.6,40,7671.4,14,6829.1,6,38916.1,60
Indigo (S),1629.3,13,243.6,3,89,1,1961.9,17
Kingston (C),14943.3,30,5607.2,11,2634.9,3,23185.4,44
Knox (C),13771.8,33,2893.6,10,2477,4,19142.4,47
Latrobe (C),7996.1,27,2908,8,530.2,0,11434.3,35
Loddon (S),836.2,7,56,2,,,892.2,9
Macedon Ranges (S),5369.6,17,1982,6,1389,3,8740.6,26
Manningham (C),12883.2,21,4414.8,9,1601.4,1,18899.4,31
Mansfield (S),919.5,4,202,1,486.2,2,1607.7,7
Maribyrnong (C),8865.2,15,2779,7,28,0,11672.2,22
Maroondah (C),11047.7,23,2909.2,4,4313.4,6,18270.3,33
Melbourne (C),4609.8,10,1423,5,4463,9,10495.8,24
Melton (C),17817.8,24,4877,8,4213.8,4,26908.6,36
Mildura (RC),7434.7,23,1705.6,5,679.6,3,9819.9,31
Mitchell (S),4960,14,2380.8,4,400,1,7740.8,19
Moira (S),2482.4,16,1994.4,6,415.7,1,4892.5,23
Monash (C),23961.3,37,7374,14,4116.2,4,35451.5,55
Moonee Valley (C),11068.1,20,7813,14,3540,2,22421.1,36
Moorabool (S),3367.6,13,485.4,5,1962,1,5815,19
Moreland (C),11116.9,27,5109.4,14,3178,3,19404.3,44
Mornington Peninsula (S),16995,36,4398,8,3858.7,5,25251.7,49
Mount Alexander (S),1832.9,13,71,1,232.6,2,2136.5,16
Moyne (S),1124.6,10,385.2,3,,,1509.8,13
Murrindindi (S),1416,12,240,2,,,1656,14
Nillumbik (S),7022.6,20,1497,4,1286,3,9805.6,27
Northern Grampians (S),1179.8,11,238,2,,,1417.8,13
Port Phillip (C),7333.1,13,1336,4,1600,4,10269.1,21
Pyrenees (S),606.2,9,,,,,606.2,9
Queenscliffe (B),229,2,103,1,,,332,3
South Gippsland (S),3805.3,18,907.7,3,230.2,1,4943.2,22
Southern Grampians (S),1355.3,11,771,4,830.8,3,2957.1,18
Stonnington (C),4461.9,9,6066.8,9,3611,6,14139.7,24
Strathbogie (S),854,6,208,2,,,1062,8
Surf Coast (S),3498.1,10,525,2,151,1,4174.1,13
Swan Hill (RC),2336.1,11,1258,3,94,1,3688.1,15
Towong (S),913,8,90,2,,,1003,10
Unincorporated Vic,24,2,,,,,24,2
Wangaratta (RC),2283.4,18,1973.6,5,964.5,1,5221.5,24
Warrnambool (C),3839.6,9,2682.7,5,222,1,6744.3,15
Wellington (S),4385.6,26,1708.8,7,871,1,6965.4,34
West Wimmera (S),421.3,4,60,1,,,481.3,5
Whitehorse (C),17820.1,33,4303,13,3502.7,6,25625.8,52
Whittlesea (C),22221.5,35,8386,14,2132.3,3,32739.8,52
Wodonga (C),4818.6,9,2289,4,1126,3,8233.6,16
Wyndham (C),31264.4,32,9564.2,14,7380,5,48208.6,51
Yarra (C),8624.6,19,1618,5,999.4,4,11242,28
Yarra Ranges (S),17091.8,59,4074.2,10,4017.8,11,25183.8,80
Yarriambiack (S),814.3,10,165,3,,,979.3,13
Grand Total,631453.2,1539,209970.2,496,147012.9,219,988436.3,2254
